show_id|IMDB_id|type|title|release_year|rating|popularity|genres|PG|duration|seasons|director|date_added|country|cast|description
80201175||Movie|Mom|2017|||Dramas, International Movies, Thrillers|TV-MA|139||Ravi Udyawar|August 21, 2018|India|Sridevi, Akshaye Khanna, Sajal Ali, Nawazuddin Siddiqui, Adnan Siddiqui, Pitobash, Abhimanyu Singh, Vikas Verma|After her stepdaughter is sexually assaulted at a party, a furious mother sets out to destroy the lives of the four perpetrators who walked away free.
81016191|tt7218518|Movie|Pad Man|2018|7.9|21030|Dramas, International Movies, Romantic Movies|PG-13|130||R. Balki|August 21, 2018|India|Akshay Kumar, Sonam Kapoor, Radhika Apte, Jyoti Subhash, Urmila Mahanta, Suneel Sinha, Sanjay Singh, Rakesh Chaturvedi Om|Despite public humiliation and resistance, an entrepreneur markets a hygienic, low-cost sanitary pad that even India's poorest women can afford.
80199962|tt5785170|Movie|Toilet: Ek Prem Katha|2017|7.2|18031|Comedies, Dramas, International Movies|TV-14|145||Shree Narayan Singh|August 21, 2018|India|Akshay Kumar, Bhumi Pednekar, Divyendu Sharma, Atul Srivastava, Anupam Kher, Ayesha Raza Mishra, Mukesh S Bhatt, Shubha Khote, Sudhir Pandey|On her first day of marriage, a woman leaves her husband upon learning his home lacks a toilet, sparking a quixotic quest to acquire modern sanitation.
80134952|tt5264178|Movie|Bad Rap|2016|6.4|158|Documentaries, Music & Musicals|TV-MA|83||Salima Koroma|August 21, 2017|United States, Canada|Jonathan Park, Awkwafina, David Lee, Richard Lee|Four young Asian-American rappers strive to achieve success on their own terms in a musical genre that often treats them as outsiders.
80163295|tt9131088|TV Show|Hati Perempuan|2015|||International TV Shows, Romantic TV Shows, TV Dramas|TV-PG||1||August 21, 2017|Indonesia|Saharul Ridzwan, Mia Ahmad, Hafreez Adam, Hafeez Mikhail, Nadzmi Adhwa, Bella Nazari|Sparks of both passion and contempt fly when a self-sufficient architect is forced to work with a snobbish industrialist.
80163407|tt3132450|Movie|KL Zombi|2013|4.4|247|Comedies, Horror Movies, International Movies|TV-MA|92||Woo Ming Jin|August 21, 2017|Malaysia|Zizan Razak, Siti Saleha, Zain Hamid, Izara Aishah, Fadzli Daniel Ali, Usop Wilcha|A field hockey-playing pizza delivery boy finds himself transformed from slacker to zombie slayer during an outbreak of the undead in Kuala Lumpur.
80163265|tt7785062|Movie|Rembat|2015|5.1|15|Action & Adventure, Comedies, International Movies|TV-14|88||Shamyl Othman|August 21, 2017|Malaysia|Shaheizy Sam, Aniu, Zizan Razak, Zara Zya, Arja Lee|Two huge soccer fans must go on a rambunctious road trip to fix a big match between Malaysia and Thailand, or they'll draw the ire of a loan shark.
80171742|tt6400614|Movie|Unacknowledged|2017|7.0|7078|Documentaries|TV-MA|104||Michael Mazzola|August 21, 2017|United States||Noted UFO expert Dr. Steven Greer interviews witnesses and presents classified documents concerning the existence of extraterrestrials.
60021787|tt0217505|Movie|Gangs of New York|2002|7.5|403856|Dramas|R|167||Martin Scorsese|August 20, 2019|United States, Italy|Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz, Jim Broadbent, John C. Reilly, Henry Thomas, Liam Neeson, Brendan Gleeson, Gary Lewis, Stephen Graham|In the crime-ridden slums of New York in the 1860s, vengeful orphan Amsterdam Vallon joins the cutthroat gang of his father's killer, Bill the Butcher.
81082125|tt1074634|Movie|Our Planet - Behind The Scenes|2019|8.3|1148|Documentaries|TV-G|63|||August 20, 2019|United Kingdom|David Attenborough|Years spent recording footage of creatures from every corner of the globe is bound to produce a bit of drama. Here's a behind-the-scenes look.
81045860|tt1068764|Movie|Simon Amstell: Set Free|2019|6.4|655|Stand-Up Comedy|TV-MA|52||Julia Knowles|August 20, 2019||Simon Amstell|Honest, introspective comic Simon Amstell digs deep and delivers a uniquely vulnerable stand-up set on love, ego, intimacy and ayahuasca.
80226557|tt7358910|TV Show|Leo & Tig|2017|6.4|35|Kids' TV|TV-Y7||1||August 20, 2018||Agniya Kuznetsova, Alexandra Ursulyak, Dmitriy Nazarov, Diomid Vinogradov, Elena Shulman, Kseniya Kutepova|Spunky leopard cub Leo and his loyal tiger pal Tig team up for fun and adventure as they explore the forest and learn about ancient legends.
80162179||Movie|Camera Store|2016|||Comedies, Dramas|TV-MA|104||Scott Marshall Smith|August 20, 2017|United States|John Larroquette, John Rhys-Davies, Paul Ben-Victor, David James Elliott, Laura Silverman, Cheryl Ladd, Justin Lieberman, Maddie McCormick|With the digital revolution just around the corner, the employees of Bibideaux camera store strive to stay relevant amid unstoppable change.
80115686|tt4088588|Movie|Dhanak|2015|7.9|3564|Comedies, Dramas, Independent Movies|TV-PG|114||Nagesh Kukunoor|August 20, 2016|India|Krrish Chhabria, Hetal Gada, Vipin Sharma, Gulfam Khan, Suresh Menon, Vijay Maurya, Rajiv Laxman, Ninad Kamat|A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.
80245353|tt1069840|TV Show|Basketball or Nothing|2019|7.4|450|Docuseries, Reality TV|TV-PG||1||August 2, 2019|United States||Follow the Chinle High basketball team in Arizona's Navajo Nation on a quest to win a state championship and bring pride to their isolated community.
70287604|tt2216314|TV Show|Care Bears: Welcome to Care-a-Lot|2012|5.6|147|Kids' TV|TV-Y||1||August 2, 2019|United States|David Lodge, Patty Mattson, Doug Erholtz, Stephanie Sheh, Nayo Wallace, Michael Sinterniklaas, Michaela Dean|Nestled in a faraway cloud is a rainbow-colored world called Care-a-Lot, home to the magical Care Bears who each have a special talent.
70242938|tt1566501|Movie|For Greater Glory|2012|6.6|4568|Dramas, International Movies|R|145||Dean Wright|August 2, 2019|Mexico|Rubén Blades, Bruce Greenwood, Bruce McGill, Peter O'Toole, Andy Garcia, Nestor Carbonell, Eduardo Verástegui, Catalina Sandino Moreno, Eva Longoria, Santiago Cabrera, Adrian Alonso, Oscar Isaac, Mauricio Kuri|When a vicious war against Catholics is waged in Mexico in the 1920s, a retired general joins the militia fighting to preserve religious freedom.
81150918|tt9382396|Movie|Léa & I|2019|6.6|183|Documentaries|TV-MA|84||Camille Shooshani|August 2, 2019||Léa Moret, Camille Shooshani|Best friends Léa and Camille explore the notion of healing while traveling to Latin America in search of a cure for a terminal disease.
22469949|tt0114011|Movie|Now and Then|1995|6.8|26947|Dramas|PG-13|102||Lesli Linka Glatter|August 2, 2019|United States|Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith, Gaby Hoffmann, Demi Moore, Ashleigh Aston Moore, Rita Wilson, Janeane Garofalo, Hank Azaria, Bonnie Hunt, Cloris Leachman|Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends recall the magical summer of 1970.
