|IMDB_titleID|category|title|release_year|seasons|movie_duration|average_rating|number_rating|director|casting|country|date_added|parental_guideline|listed_in|summary
5087|/title/tt0116367/|TV Show|From Dusk Till Dawn|2016|3||7.2|272344||D.J. Cotrona, Zane Holtz, Eiza Gonzalez, Jesse Garcia, Madison Davenport, Brandon Soo Hoo, Wilmer Valderrama, Robert Patrick, Jake Busey, Samantha Esteban, Don Johnson|United States| December 5, 2016|TV-MA|Classic & Cult TV, TV Action & Adventure, TV Horror|Bank-robbing brothers encounter vengeful lawmen and demons south of the border in this original series based on Robert Rodriguez' cult horror film.
5088|/title/tt7216288/|TV Show|Robot Trains|2018|2||5.8|31||Bill Rogers, Carrie Savage, Ken Spassione, Angela Mulligan, Mark Szabo, Daniel J. Edwards, Mike Pollock, Anthony Salerno|South Korea| December 31, 2019|TV-Y7|Kids' TV, Korean TV Shows|Keeping peace and safety in Train World is no easy task, but for five trains with the power to transform into robots, every crisis is an adventure!
5089|/title/tt4192998/|TV Show|Occupied|2017|2||7.7|6907||Henrik Mestad, Ane Dahl Torp, Ingeborga Dapkunaite, Eldar Skar, Ragnhild Gudbrandsen, Kristin Braut-Solheim|Norway, Sweden| December 31, 2019|TV-MA|International TV Shows, TV Dramas, TV Thrillers|"In the near future, Russia initiates a ""silk glove"" invasion of Norway to restart oil production, but soon uncertainty, chaos and danger erupt."
5090|/title/tt6228688/|TV Show|Top Grier|2018|3||5.8|40|||United States| December 31, 2018|TV-14|Reality TV|Social media star Hayes Grier returns to North Carolina for a reality series packed with action sports, pranks and romantic escapades.
5091|/title/tt1190689/|TV Show|Nurse Jackie|2015|7||7.7|23530||Edie Falco, Merritt Wever, Paul Schulze, Peter Facinelli, Stephen Wallem, Eve Best, Dominic Fumusa, Ruby Jerins, Anna Deavere Smith|United States| December 31, 2015|TV-MA|TV Comedies, TV Dramas|A flawed but dedicated ER nurse works in a New York City hospital and relies on pain meds to get through exhausting days in this Emmy-winning show.
5092|/title/tt6916746/|TV Show|Alexa & Katie|2018|2||7.3|2035||Paris Berelc, Isabel May, Tiffani Thiessen, Emery Kelly, Jolie Jenkins, Kerri Medders, Finn Carr, Eddie Shin|United States| December 30, 2019|TV-Y7|Kids' TV, TV Comedies|Alexa is battling cancer. But with her best friend, Katie, by her side, she's also starting high school – and ready for whatever comes next.
5093|/title/tt2390276/|TV Show|Highway Thru Hell|2016|3||8.1|985||Dave Pettitt, Jamie Davis, Adam Gazzola, Kevin Ritchie|Canada| December 3, 2019|TV-PG|Reality TV|On the hazardous highways of Canada's interior, heavy vehicle towing companies experience hardship and triumph rescuing wrecked and stranded trucks.
5094|/title/tt4613520/|TV Show|The Sound of Your Heart: Reboot|2018|2||8.3|595||Sung Hoon, Kwon Yuri, Tae Hang-ho, Joo Jin-mo, Shim Hye-jin, Ji Su-won, Park Cheol-min, Kim Seong-won, Kang Yoon, Seo Eun-ah, Bae Yoon-kyung|South Korea| December 3, 2018|TV-14|International TV Shows, Korean TV Shows, TV Comedies|Webtoonist Cho Seok is back with more anecdotes of mix-ups, unintended antics, and bathroom blunders in this reboot starring an all-new cast.
5095|/title/tt5023972/|TV Show|Lost & Found Music Studios|2016|2||6.7|480||Victoria Baldesarra, Sarah Carmosino, Jordan Clark, DeShaun Clarke, Keara Graves, Katrina Hachey, Shane Harte, Ali Milner, Levi Randall, Brittany Raymond, Trevor Tordjman, Michael Torontow, Alex Zaichkowski, Matthew Bacik, Alyssa Baker, Ella Jonas Farlinger, Ian Matthews, Rakim Kelly, Bailey Pelkman, Olivia Solo|Canada| December 3, 2016|TV-G|Kids' TV, TV Comedies, TV Dramas|Teen singers-songwriters in an elite music program form bonds of friendship, creativity and romance while turning their passion into their profession.
5096|/title/tt2874692/|TV Show|When Calls the Heart|2017|5||8.3|8481||Erin Krakow, Daniel Lissing, Lori Loughlin, Martin Cummins, Chelah Horsdal, Gracyn Shinyei, Jack Wagner, Mitchell Kummen, Loretta Walsh, Erica Carroll, Darius Zaviceanu, Charlotte Hegele, Steve Bacic, Adrian Hough|United States| December 29, 2018|TV-G|TV Dramas|Leaving behind her upper-crust city roots, a woman journeys west in the early 1900s to become a teacher in a small Canadian mining community.
5097|/title/tt2176287/|TV Show|Comedy Bang! Bang!|2016|5||7.5|3657||Scott Aukerman, Reggie Watts|United States| December 28, 2016|TV-14|Stand-Up Comedy & Talk Shows, TV Comedies|Scott Aukerman brings his popular podcast Comedy Bang! Bang! to television, along with his co-host and bandleader, Reggie Watts.
5098|/title/tt6215712/|TV Show|AJIN: Demi-Human|2016|2||6.4|1170||Mamoru Miyano, Yoshimasa Hosoya, Jun Fukuyama, Hochu Otsuka, Daisuke Hirakawa, Takahiro Sakurai, Mikako Komatsu, Hiroyuki Kinoshita, Aya Suzaki|Japan| December 27, 2016|TV-MA|Anime Series, International TV Shows|A teenager discovers that he is an Ajin and flees before the authorities experiment on him. Other Ajin plan to fight back and he must choose a side.
5099|/title/tt0200276/|TV Show|The West Wing|2005|7||8.8|58273||Martin Sheen, Rob Lowe, Allison Janney, John Spencer, Bradley Whitford, Janel Moloney, Richard Schiff, Dulé Hill, NiCole Robinson, Melissa Fitzgerald, Joshua Malina, Stockard Channing, Kim Webster, Kris Murphy, Timothy Davis-Reed|United States| December 25, 2015|TV-14|TV Dramas|This powerful political epic chronicles the triumphs and travails of White House senior staff under the administration of President Josiah Bartlet.
5100|/title/tt2777882/|TV Show|El señor de los Cielos|2018|6||6.8|816||Rafael Amaya, Ximena Herrera, Robinson Díaz, Raúl Méndez, Gabriel Porras, Carmen Villalobos, Mauricio Ochmann, Fernanda Castillo, Marlene Favela, Carmen Aub, Maritza Rodríguez|United States, Mexico, Colombia| December 23, 2018|TV-14|Crime TV Shows, Spanish-Language TV Shows, TV Action & Adventure|Only Aurelio Casillas can fill Pablo Escobar's shoes and become Mexico's biggest drug trafficker of the '90s.
5101|/title/tt2431438/|TV Show|Sense8|2018|2||8.3|129051||Tuppence Middleton, Brian J. Smith, Doona Bae, Max Riemelt, Naveen Andrews, Daryl Hannah, Freema Agyeman, Terrence Mann, Adam Shapiro, Max Mauff, Alfonso Herrera, Eréndira Ibarra, Aml Ameen, Jamie Clayton, Tina Desae, Miguel Ángel Silvestre, Toby Onwumere, Joe Pantoliano|United States| December 23, 2016|TV-MA|TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy|"From the creators of ""The Matrix"" and ""Babylon 5"" comes this tense series in which eight people can telepathically experience each other's lives."
5102|/title/tt0972412/|TV Show|Private Practice|2012|6||6.6|21095||Kate Walsh, Tim Daly, Audra McDonald, Paul Adelstein, Taye Diggs, Amy Brenneman, KaDee Strickland, Chris Lowell, Brian Benben|United States| December 22, 2019|TV-14|TV Comedies, TV Dramas|At Oceanside Wellness Center, Dr. Addison Montgomery deals with competing personalities in the new world of holistic medicine.
5103|/title/tt3762198/|TV Show|People Just Do Nothing|2018|5||8.5|3221||Allan Mustafa, Hugo Chegwin, Asim Chaudhry, Lily Brazier, Olivia Jasmine Edwards, Dan Sylvester, Steve Stamp, Ruth Bratt, George Keywood, Maria Louis|United Kingdom| December 22, 2018|TV-MA|British TV Shows, TV Comedies|Spinning old-school beats is just another day at the office for the naive DJs of a pirate radio station who juggle family life with their passion.
5104|/title/tt8893554/|TV Show|LAST HOPE|2018|2||5.8|275||Tomoaki Maeno, Kana Hanazawa, Kenjiro Tsuda, Nao Toyama, Yuma Uchida, Unsho Ishizuka, Yuuichirou Umehara, Ai Kayano|Japan| December 21, 2018|TV-14|Anime Series, International TV Shows|After causing the near extinction of mankind seven years ago, genius scientist Leon Lau must now fight the ecological disaster he unwittingly created.
